"","timestamp","receiver","posX","posY","orientation","ap_mac","rssi","frequency","mode","ap_x","ap_y"
"22",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-49,"2427000000","3",1,14
"23",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,"2432000000","3",12.8,-2.8
"24",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-44,"2437000000","3",2.5,-0.8
"25",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-68,"2422000000","3",33.5,2.8
"30",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"31",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"32",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-39,"2437000000","3",2.5,-0.8
"33",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"35",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,"2432000000","3",12.8,-2.8
"40",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-42,"2437000000","3",2.5,-0.8
"41",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,"2462000000","3",7.5,6.3
"42",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-60,"2422000000","3",33.5,2.8
"43",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-59,"2432000000","3",12.8,-2.8
"44",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-64,"2442000000","3",33.5,9.3
"48",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-57,"2427000000","3",1,14
"49",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,"2462000000","3",7.5,6.3
"50",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-43,"2437000000","3",2.5,-0.8
"51",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,"2432000000","3",12.8,-2.8
"52",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"55",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-57,"2422000000","3",33.5,2.8
"59",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-44,"2437000000","3",2.5,-0.8
"60",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,"2462000000","3",7.5,6.3
"61",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,"2432000000","3",12.8,-2.8
"62",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-56,"2427000000","3",1,14
"64",2006-02-11 21:14:38,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"69",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,"2462000000","3",7.5,6.3
"70",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-60,"2422000000","3",33.5,2.8
"71",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-59,"2432000000","3",12.8,-2.8
"72",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-64,"2442000000","3",33.5,9.3
"78",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-40,"2437000000","3",2.5,-0.8
"79",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,"2462000000","3",7.5,6.3
"80",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-49,"2427000000","3",1,14
"81",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,"2432000000","3",12.8,-2.8
"82",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-64,"2442000000","3",33.5,9.3
"88",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"89",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,"2462000000","3",7.5,6.3
"90",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-59,"2422000000","3",33.5,2.8
"91",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,"2432000000","3",12.8,-2.8
"92",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"98",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"99",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"100",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-59,"2422000000","3",33.5,2.8
"101",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-65,"2442000000","3",33.5,9.3
"102",2006-02-11 21:14:39,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,"2432000000","3",12.8,-2.8
"107",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"108",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"109",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-56,"2427000000","3",1,14
"110",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,"2432000000","3",12.8,-2.8
"111",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-61,"2422000000","3",33.5,2.8
"116",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,"2462000000","3",7.5,6.3
"117",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,"2432000000","3",12.8,-2.8
"118",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-66,"2422000000","3",33.5,2.8
"120",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-56,"2427000000","3",1,14
"125",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-40,"2437000000","3",2.5,-0.8
"126",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,"2462000000","3",7.5,6.3
"127",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"128",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,"2432000000","3",12.8,-2.8
"134",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-40,"2437000000","3",2.5,-0.8
"135",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"136",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-55,"2427000000","3",1,14
"137",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-57,"2422000000","3",33.5,2.8
"138",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-60,"2432000000","3",12.8,-2.8
"139",2006-02-11 21:14:40,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"144",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-49,"2427000000","3",1,14
"145",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-50,"2462000000","3",7.5,6.3
"146",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-39,"2437000000","3",2.5,-0.8
"147",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,"2432000000","3",12.8,-2.8
"152",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-39,"2437000000","3",2.5,-0.8
"153",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-39,"2437000000","3",2.5,-0.8
"154",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"155",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"156",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-61,"2432000000","3",12.8,-2.8
"157",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-60,"2422000000","3",33.5,2.8
"158",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,"2432000000","3",12.8,-2.8
"162",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-39,"2437000000","3",2.5,-0.8
"163",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-40,"2437000000","3",2.5,-0.8
"164",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"165",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"167",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"171",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-38,"2437000000","3",2.5,-0.8
"172",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"173",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-57,"2427000000","3",1,14
"174",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-64,"2432000000","3",12.8,-2.8
"175",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"176",2006-02-11 21:14:41,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-68,"2422000000","3",33.5,2.8
"181",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-40,"2437000000","3",2.5,-0.8
"182",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"183",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"185",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-64,"2432000000","3",12.8,-2.8
"188",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-58,"2422000000","3",33.5,2.8
"191",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-38,"2437000000","3",2.5,-0.8
"192",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"193",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-55,"2427000000","3",1,14
"194",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-61,"2422000000","3",33.5,2.8
"195",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-64,"2432000000","3",12.8,-2.8
"196",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-64,"2442000000","3",33.5,9.3
"202",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-38,"2437000000","3",2.5,-0.8
"203",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"204",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"205",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-61,"2422000000","3",33.5,2.8
"211",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-39,"2437000000","3",2.5,-0.8
"212",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"213",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-58,"2422000000","3",33.5,2.8
"214",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"215",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"216",2006-02-11 21:14:42,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-70,"2432000000","3",12.8,-2.8
"221",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"222",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-49,"2427000000","3",1,14
"223",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-54,"2462000000","3",7.5,6.3
"224",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-62,"2422000000","3",33.5,2.8
"225",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-64,"2442000000","3",33.5,9.3
"227",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,"2432000000","3",12.8,-2.8
"232",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-38,"2437000000","3",2.5,-0.8
"233",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"234",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-62,"2422000000","3",33.5,2.8
"235",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"241",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"242",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"243",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"245",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-68,"2432000000","3",12.8,-2.8
"249",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"250",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-42,"2437000000","3",2.5,-0.8
"251",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-42,"2437000000","3",2.5,-0.8
"252",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-51,"2427000000","3",1,14
"253",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-60,"2432000000","3",12.8,-2.8
"254",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-60,"2432000000","3",12.8,-2.8
"255",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-61,"2442000000","3",33.5,9.3
"256",2006-02-11 21:14:43,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-63,"2422000000","3",33.5,2.8
"262",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"263",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-51,"2437000000","3",2.5,-0.8
"264",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"265",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-59,"2422000000","3",33.5,2.8
"266",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-63,"2442000000","3",33.5,9.3
"267",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-67,"2432000000","3",12.8,-2.8
"273",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"274",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-56,"2427000000","3",1,14
"275",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-60,"2422000000","3",33.5,2.8
"276",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"277",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"278",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-63,"2432000000","3",12.8,-2.8
"282",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"283",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"284",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-57,"2427000000","3",1,14
"285",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-61,"2422000000","3",33.5,2.8
"286",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-69,"2432000000","3",12.8,-2.8
"287",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-61,"2442000000","3",33.5,9.3
"292",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-41,"2437000000","3",2.5,-0.8
"293",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-59,"2422000000","3",33.5,2.8
"294",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-57,"2427000000","3",1,14
"295",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"296",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-68,"2422000000","3",33.5,2.8
"300",2006-02-11 21:14:44,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"301",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-43,"2437000000","3",2.5,-0.8
"302",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"303",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-58,"2427000000","3",1,14
"304",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"305",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-63,"2432000000","3",12.8,-2.8
"311",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-42,"2437000000","3",2.5,-0.8
"312",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"313",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-63,"2432000000","3",12.8,-2.8
"319",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-53,"2462000000","3",7.5,6.3
"320",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"321",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,"2432000000","3",12.8,-2.8
"323",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-61,"2422000000","3",33.5,2.8
"330",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-38,"2437000000","3",2.5,-0.8
"331",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"332",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-56,"2427000000","3",1,14
"333",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-64,"2442000000","3",33.5,9.3
"334",2006-02-11 21:14:45,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-61,"2422000000","3",33.5,2.8
"340",2006-02-11 21:14:46,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-38,"2437000000","3",2.5,-0.8
"341",2006-02-11 21:14:46,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-50,"2427000000","3",1,14
